order_id,product_id,quantity,price_per_unit
1,90,3,160.94
1,89,1,186.1
2,27,3,77.62
2,13,4,216.2
2,46,3,487.36
3,42,3,285.23
3,57,4,463.49
4,77,2,109.48
5,20,4,147.43
5,51,2,112.28
5,51,2,112.28
6,51,3,112.28
7,29,4,496.5
7,53,3,413.68
7,26,3,497.3
8,51,3,112.28
8,66,2,487.82
8,100,4,438.09
9,94,3,50.13
9,55,3,356.2
9,4,2,322.57
9,60,4,233.16
10,45,2,73.6
10,22,4,398.25
10,53,4,413.68
10,14,2,26.22
11,47,2,20.83
11,62,1,93.57
12,39,1,85.34
12,68,3,80.25
13,67,3,21.34
13,48,4,400.26
13,45,4,73.6
13,73,1,239.09
14,96,1,218.69
15,40,1,92.21
15,65,3,146.44
16,85,3,464.85
16,51,4,112.28
16,9,3,496.03
17,62,3,93.57
18,82,4,240.61
18,98,1,353.68
18,83,4,481.09
19,17,2,154.61
20,93,4,20.92
20,33,2,180.17
20,78,1,331.49
20,27,3,77.62
21,46,1,487.36
21,44,4,390.62
21,24,1,132.93
22,62,4,93.57
22,54,4,352.48
23,36,1,128.31
24,38,4,447.49
24,76,3,401.6
24,70,4,254.04
24,37,1,498.67
25,35,2,144.22
25,73,4,239.09
26,91,2,259.51
26,41,1,126.71
26,13,4,216.2
27,59,2,466.72
27,65,3,146.44
28,77,2,109.48
28,74,2,417.85
29,54,3,352.48
29,11,4,473.81
29,12,4,14.69
30,37,2,498.67
30,96,1,218.69
30,72,1,451.6
31,20,3,147.43
31,71,1,197.87
31,3,3,223.36
31,62,4,93.57
32,7,1,227.43
32,39,3,85.34
32,36,4,128.31
33,42,4,285.23
34,99,2,71.61
34,94,1,50.13
35,61,2,136.82
35,97,1,468.16
35,25,2,447.12
35,57,2,463.49
36,31,2,16.8
36,5,1,170.0
37,39,1,85.34
37,4,4,322.57
37,52,1,365.97
38,43,1,286.76
39,10,4,380.63
40,32,4,444.87
40,66,3,487.82
41,78,1,331.49
41,6,2,306.01
42,91,2,259.51
43,14,2,26.22
43,8,3,476.6
44,75,3,239.67
44,55,1,356.2
44,5,3,170.0
45,11,1,473.81
45,78,1,331.49
45,68,1,80.25
